"Parameter","coord","covariate","p2.5","p25","p50","mean","p75","p97.5"
"Lambda","clr_ASV_117","AR_d2",-1.72894399014625,-1.15830305038595,-0.905203186512938,-0.909020935156935,-0.646793613060135,-0.146580063002941
"Lambda","clr_ASV_117","AR_e1",-2.71412143380063,-2.21854108570702,-1.96981610573417,-1.97552214235986,-1.72363518437501,-1.26008790558777
"Lambda","clr_ASV_117","AR_e2",-2.44921064421124,-1.93069971722065,-1.68166881952354,-1.691300846886,-1.44796213220741,-0.978163738058373
"Lambda","clr_ASV_118","AR_d1",-1.20399463308027,-0.360521111585392,0.0358700434408415,0.0234831878450892,0.405868859430811,1.19079614688913
"Lambda","clr_ASV_118","AR_d2",-2.72969623581803,-1.91294791911706,-1.47869171930836,-1.49848037317202,-1.06798652604508,-0.324995704947821
"Lambda","clr_ASV_118","AR_e1",-3.78134281038063,-2.97869844379867,-2.59972078955972,-2.59930369130393,-2.20828267261346,-1.49228948885237
"Lambda","clr_ASV_118","AR_e2",-3.50724424807022,-2.74072944827164,-2.35422750519917,-2.34976143496384,-1.95740794250207,-1.19282648414156
"Lambda","clr_ASV_119","AR_d1",-1.00371485207378,0.0880866628568713,0.633414336896008,0.64995533651004,1.20454884835383,2.36073578980187
"Lambda","clr_ASV_119","AR_d2",-0.48315092633017,0.486708288451123,1.02922576482639,1.03885233871359,1.56866630990038,2.66697995483199
"Lambda","clr_ASV_119","AR_e1",-0.0502272586004983,0.758088969167823,1.22514951447624,1.24217857752841,1.69736108758288,2.72051863668701
"Lambda","clr_ASV_119","AR_e2",-0.439929027226474,0.4175420242935,0.901578547289257,0.933544323917678,1.43127947779882,2.45423384721375
"Lambda","clr_ASV_12","AR_d1",-0.530528773973498,-0.120000468457623,0.0909636281310213,0.0948941874627444,0.311955430142664,0.746820206829481
"Lambda","clr_ASV_12","AR_d2",-0.639544793045648,-0.252450566899696,-0.0291954418120079,-0.0386091044665341,0.173174872568637,0.543439021406931
"Lambda","clr_ASV_12","AR_e1",-0.275816193445251,0.0453362894586869,0.218048346183765,0.216412259587587,0.387244394959125,0.725001534510968
"Lambda","clr_ASV_12","AR_e2",-0.591806299834331,-0.235352045354255,-0.0631691227335069,-0.0652754248340157,0.103538889644065,0.433742195165086
"Lambda","clr_ASV_13","AR_d1",-0.773852685859075,-0.257880439914461,-0.00360859761742885,0.00558772852679269,0.271483856656773,0.78368860299547
"Lambda","clr_ASV_13","AR_d2",0.675557775643009,1.2092340155816,1.45863700804425,1.45994164325855,1.71077245100019,2.20429751745838
"Lambda","clr_ASV_13","AR_e1",1.14045557735007,1.54232862983227,1.74530959441135,1.74942809955888,1.95255620430259,2.32957878229543
"Lambda","clr_ASV_13","AR_e2",1.35929461566824,1.75183951202291,1.97667397691697,1.9727086249828,2.18508602676642,2.60713900301756
