"Rx1","rep","DP","conc"
"dex",3,"DP 22",0.290170855042993
"con",1,"DP 23",0.168327084547267
"con",2,"DP 23",0.24136846877379
"con",3,"DP 23",0.230588252535795
"in",1,"DP 23",0.0450277567866458
"in",2,"DP 23",0.0410979453171629
"in",3,"DP 23",0.132096272944537
"gos",1,"DP 23",0.117482923720349
"gos",2,"DP 23",0.17467396466882
"gos",3,"DP 23",0.151145405309865
"dex",1,"DP 23",0.184525351454504
"dex",2,"DP 23",0.136144257686818
"dex",3,"DP 23",0.118866639149874
"con",1,"DP 24",0.317848142832401
"con",2,"DP 24",0.351480878759204
"con",3,"DP 24",0.342268340676541
"in",1,"DP 24",0.17560726614178
"in",2,"DP 24",0.171991066914125
"in",3,"DP 24",0.250259365594897
"gos",1,"DP 24",0.264471931240409
"gos",2,"DP 24",0.289709791941274
"gos",3,"DP 24",0.272153694259347
"dex",1,"DP 24",0.299610800568626
"dex",2,"DP 24",0.272084539536929
"dex",3,"DP 24",0.267661968019471
"con",1,"DP 25",0.211852316491437
"con",2,"DP 25",0.226441766542473
"con",3,"DP 25",0.224519243210356
"in",1,"DP 25",0.0927217536239378
"in",2,"DP 25",0.0927907824947345
"in",3,"DP 25",0.148422269054382
"gos",1,"DP 25",0.166580540704859
"gos",2,"DP 25",0.185846624513656
"gos",3,"DP 25",0.173520432829902
"dex",1,"DP 25",0.19267496026551
"dex",2,"DP 25",0.178027879217223
"dex",3,"DP 25",0.170203937668931
"con",1,"DP 26",0.272156140214029
"con",2,"DP 26",0.249987984556576
"con",3,"DP 26",0.218391495283349
"in",1,"DP 26",0.125465907198453
"in",2,"DP 26",0.121163994701404
"in",3,"DP 26",0.158807978490689
"gos",1,"DP 26",0.204634892869303
"gos",2,"DP 26",0.185242418168291
"gos",3,"DP 26",0.187077503994044
"dex",1,"DP 26",0.200147727853508
"dex",2,"DP 26",0.225223681011039
"dex",3,"DP 26",0.210023293508113
"con",1,"DP 27",0.16003495518225
"con",2,"DP 27",0.176883653704432
"con",3,"DP 27",0.160588412869672
"in",1,"DP 27",0.0353658580036941
"in",2,"DP 27",0.0297307377116764
"in",3,"DP 27",0.0928601704980135
"gos",1,"DP 27",0.104103345701749
"gos",2,"DP 27",0.125912774916218
"gos",3,"DP 27",0.109797452684758
"dex",1,"DP 27",0.134980348852999
"dex",2,"DP 27",0.12456557067583
"dex",3,"DP 27",0.114191517770662
"con",1,"DP 28",0.221802367181657
"con",2,"DP 28",0.237634173387367
"con",3,"DP 28",0.226707439376385
"in",1,"DP 28",0.105899475863697
"in",2,"DP 28",0.102592216875666
"in",3,"DP 28",0.161334358090119
"gos",1,"DP 28",0.181402118839157
"gos",2,"DP 28",0.194470117891596
"gos",3,"DP 28",0.180433056044246
"dex",1,"DP 28",0.198537514709021
"dex",2,"DP 28",0.184858101733779
"dex",3,"DP 28",0.183218601265314
"con",1,"DP 30",0.157384070286524
"con",2,"DP 30",0.184859563108593
"con",3,"DP 30",0.17701531181842
"in",1,"DP 30",0.0627444788627492
"in",2,"DP 30",0.0608249139205274
"in",3,"DP 30",0.122825877805119
"gos",1,"DP 30",0.129592638484679
"gos",2,"DP 30",0.15444416120087
"gos",3,"DP 30",0.132624378277313
"dex",1,"DP 30",0.156180424722848
"dex",2,"DP 30",0.128680213449625
"dex",3,"DP 30",0.12669247850079
"con",1,"DP 40",0.0938123199788314
"con",2,"DP 40",0.11506565493252
"con",3,"DP 40",0.113733137897323
"in",1,"DP 40",0.0744812672788781
"in",2,"DP 40",0.0735698858719304
"in",3,"DP 40",0.0891845141810884
"gos",1,"DP 40",0.0932871887375524
"gos",2,"DP 40",0.10689173610131
"gos",3,"DP 40",0.110130673795046
"dex",1,"DP 40",0.121692633842723
"dex",2,"DP 40",0.0793170103110907
"dex",3,"DP 40",0.0781220167077216
"con",1,"DP 43",0.0651408803723626
"con",2,"DP 43",0.0896516537214728
"con",3,"DP 43",0.0841939563923252
"in",1,"DP 43",0.0338392177028054
"in",2,"DP 43",0.0333772225345414
"in",3,"DP 43",0.0794098470456464
"gos",1,"DP 43",0.0529439905477558
"gos",2,"DP 43",0.0821592447067751
"gos",3,"DP 43",0.0632497972384462
"dex",1,"DP 43",0.0892746929145633
"dex",2,"DP 43",0.0540439135947461
"dex",3,"DP 43",0.0536211229042592
"con",1,"DP 47",0.0468677551293555
"con",2,"DP 47",0.0579740072948448
"con",3,"DP 47",0.051461754837728
"in",1,"DP 47",0.0335265742000236
"in",2,"DP 47",0.0331705891386587
"in",3,"DP 47",0.0461164853874632
