expt,treatment1,treatment2,rep,DP,conc,DPn,bin
cilantro,100,100,1,GF9,0.012455345,10,FOS
cilantro,100,100,2,GF9,0.024580903,10,FOS
cilantro,0,0,2,DP 12,0.000153891,12,inulin
cilantro,0,0,3,DP 12,-0.000153891,12,inulin
cilantro,0,100,1,DP 12,0.062704058,12,inulin
cilantro,0,100,3,DP 12,0.065027441,12,inulin
cilantro,0.1,100,1,DP 12,0.059015089,12,inulin
cilantro,0.1,100,3,DP 12,0.061095247,12,inulin
cilantro,1,100,1,DP 12,0.066776578,12,inulin
cilantro,1,100,3,DP 12,0.070577849,12,inulin
cilantro,10,100,2,DP 12,0.023266802,12,inulin
cilantro,10,100,3,DP 12,0.025216245,12,inulin
cilantro,25,100,1,DP 12,0.000441866,12,inulin
cilantro,25,100,3,DP 12,0.000389855,12,inulin
cilantro,50,100,2,DP 12,-0.009126159,12,inulin
cilantro,50,100,3,DP 12,-0.009126159,12,inulin
cilantro,100,100,1,DP 12,0.000218031,12,inulin
cilantro,100,100,2,DP 12,0.000678164,12,inulin
cilantro,0,0,2,DP 13,-0.006123936,13,inulin
cilantro,0,0,3,DP 13,0.006123936,13,inulin
cilantro,0,100,1,DP 13,0.047229618,13,inulin
cilantro,0,100,3,DP 13,0.046847596,13,inulin
cilantro,0.1,100,1,DP 13,0.041344788,13,inulin
cilantro,0.1,100,3,DP 13,0.039840436,13,inulin
cilantro,1,100,1,DP 13,0.043537789,13,inulin
cilantro,1,100,3,DP 13,0.049164591,13,inulin
cilantro,10,100,2,DP 13,-0.015534513,13,inulin
cilantro,10,100,3,DP 13,-0.006884735,13,inulin
cilantro,25,100,1,DP 13,-0.010940279,13,inulin
cilantro,25,100,3,DP 13,-0.011265224,13,inulin
cilantro,50,100,2,DP 13,-0.002166506,13,inulin
cilantro,50,100,3,DP 13,-0.000939884,13,inulin
cilantro,100,100,1,DP 13,-0.004117801,13,inulin
cilantro,100,100,2,DP 13,-0.002846709,13,inulin
cilantro,0,0,2,DP 14,0.003575256,14,inulin
cilantro,0,0,3,DP 14,-0.003575256,14,inulin
cilantro,0,100,1,DP 14,0.091701213,14,inulin
cilantro,0,100,3,DP 14,0.087896003,14,inulin
cilantro,0.1,100,1,DP 14,0.080527749,14,inulin
cilantro,0.1,100,3,DP 14,0.065544364,14,inulin
cilantro,1,100,1,DP 14,0.077070885,14,inulin
cilantro,1,100,3,DP 14,0.081977791,14,inulin
cilantro,10,100,2,DP 14,0.00708926,14,inulin
cilantro,10,100,3,DP 14,0.018736977,14,inulin
cilantro,25,100,1,DP 14,0.009711467,14,inulin
cilantro,25,100,3,DP 14,0.009849484,14,inulin
cilantro,50,100,2,DP 14,0.004949705,14,inulin
cilantro,50,100,3,DP 14,0.001189367,14,inulin
cilantro,100,100,1,DP 14,0.000727975,14,inulin
cilantro,100,100,2,DP 14,-0.001486028,14,inulin
cilantro,0,0,2,DP 16,0.015214675,16,inulin
cilantro,0,0,3,DP 16,-0.015214675,16,inulin
cilantro,0,100,1,DP 16,-0.047220547,16,inulin
cilantro,0,100,3,DP 16,-0.05281219,16,inulin
cilantro,0.1,100,1,DP 16,-0.023573657,16,inulin
