"doses","amt","rep","DP","conc"
"1","1:04","2","DP 17",0.139104985309169
"1","1:04","3","DP 17",0.111633780310959
"2","1:04","1","DP 17",0.00520384076752946
"2","1:04","2","DP 17",0.0593228888960367
"2","1:04","3","DP 17",0.0524614446667448
"2","norm","1","DP 17",0.067561194171237
"2","norm","2","DP 17",0.0798560290786706
"2","norm","3","DP 17",0.086462594664049
"1","2x","1","DP 17",0.0675413720809744
"1","2x","2","DP 17",0.109267817721278
"1","2x","3","DP 17",0.10556209435247
"1","1:04","1","DP 18",0.0244922717029991
"1","1:04","2","DP 18",0.143577735102104
"1","1:04","3","DP 18",0.123029961518146
"2","1:04","1","DP 18",0.0165014353076368
"2","1:04","2","DP 18",0.0706481855079649
"2","1:04","3","DP 18",0.0523358104162549
"2","norm","1","DP 18",0.0659424300745774
"2","norm","2","DP 18",0.0771202284351575
"2","norm","3","DP 18",0.0838786422774497
"1","2x","1","DP 18",0.0718457865867689
"1","2x","2","DP 18",0.114776998377678
"1","2x","3","DP 18",0.111493239601791
"1","1:04","1","DP 19",0.062900829426345
"1","1:04","2","DP 19",0.147166305482313
"1","1:04","3","DP 19",0.0712256781638798
"2","1:04","1","DP 19",0.00333394457553931
"2","1:04","2","DP 19",0.0771928968201926
"2","1:04","3","DP 19",0.0520985773539628
"2","norm","1","DP 19",0.0672807238762036
"2","norm","2","DP 19",0.0771305382994468
"2","norm","3","DP 19",0.0867961190771171
"1","2x","1","DP 19",0.0236034738562711
"1","2x","2","DP 19",0.119997187976107
"1","2x","3","DP 19",0.11370709148643
"1","1:04","1","DP 20",0.0794515379181682
"1","1:04","2","DP 20",0.151312579451482
"1","1:04","3","DP 20",0.0907492984327771
"2","1:04","1","DP 20",-0.0101687159421734
"2","1:04","2","DP 20",0.0663366664161898
"2","1:04","3","DP 20",0.0430702657429784
"2","norm","1","DP 20",0.0596531314554326
"2","norm","2","DP 20",0.073364938890274
"2","norm","3","DP 20",0.0821737407255759
"1","2x","1","DP 20",0.0391178953363259
"1","2x","2","DP 20",0.115322824154013
"1","2x","3","DP 20",0.113648578770717
"1","1:04","1","DP 21",0.107638161989446
"1","1:04","2","DP 21",0.146968180634851
"1","1:04","3","DP 21",0.114260571475474
"2","1:04","1","DP 21",0.0148591672219002
"2","1:04","2","DP 21",0.0709895954287601
"2","1:04","3","DP 21",0.0389736111967416
"2","norm","1","DP 21",0.0518864334694027
"2","norm","2","DP 21",0.0679291812461519
"2","norm","3","DP 21",0.0658928824978445
"1","2x","1","DP 21",0.0581439343243654
"1","2x","2","DP 21",0.112572474370744
"1","2x","3","DP 21",0.117439033369662
"1","1:04","1","DP 22",0.0973407063422174
"1","1:04","2","DP 22",0.138873418825964
"1","1:04","3","DP 22",0.109141499603281
"2","1:04","1","DP 22",0.00369495495420655
"2","1:04","2","DP 22",0.0522966890774316
"2","1:04","3","DP 22",0.0384283348657997
"2","norm","1","DP 22",0.0533899374987105
"2","norm","2","DP 22",0.0643181577659066
"2","norm","3","DP 22",0.0717454686233855
"1","2x","1","DP 22",0.0573738279051526
"1","2x","2","DP 22",0.103623373813478
"1","2x","3","DP 22",0.111949885657458
"1","1:04","1","DP 23",0.0513234943021479
"1","1:04","2","DP 23",0.0686921470753908
"1","1:04","3","DP 23",0.0580037595611533
"2","1:04","1","DP 23",0.019258847732427
"2","1:04","2","DP 23",0.000668475796749634
"2","1:04","3","DP 23",-0.00982742513218807
"2","norm","1","DP 23",0.00116109133920178
"2","norm","2","DP 23",0.0098167877537411
"2","norm","3","DP 23",0.0164468035036861
"1","2x","1","DP 23",0.0143520777520218
"1","2x","2","DP 23",0.0398344723009884
"1","2x","3","DP 23",0.0411675983034042
"1","1:04","1","DP 24",0.155374264685928
"1","1:04","2","DP 24",0.137616565051537
"1","1:04","3","DP 24",0.157356783508432
"2","1:04","1","DP 24",0
"2","1:04","2","DP 24",0.0747410427066588
"2","1:04","3","DP 24",0.0510201256379379
"2","norm","1","DP 24",0.0641580664237218
"2","norm","2","DP 24",0.0745471512974123
"2","norm","3","DP 24",0.0791267562210774
"1","2x","1","DP 24",0.0981963506358757
"1","2x","2","DP 24",0.109457646807859
"1","2x","3","DP 24",0.102452632138974
"1","1:04","1","DP 25",0.109710329239752
"1","1:04","2","DP 25",0.107846962276551
"1","1:04","3","DP 25",0.0916280771319841
"2","1:04","1","DP 25",0.0209627051913199
"2","1:04","2","DP 25",0.0521753578023522
"2","1:04","3","DP 25",0.038646796523557
"2","norm","1","DP 25",0.0493561847196625
"2","norm","2","DP 25",0.0560008712476319
"2","norm","3","DP 25",0.0620259850801699
"1","2x","1","DP 25",0.0695766388117564
"1","2x","2","DP 25",0.0820996892247694
"1","2x","3","DP 25",0.0817467603292116
"1","1:04","1","DP 26",0.0740358203356551
"1","1:04","2","DP 26",0.100820895041117
"1","1:04","3","DP 26",0.0823014139698957
"2","1:04","1","DP 26",0.0118155837168865
"2","1:04","2","DP 26",0.0533302665397927
"2","1:04","3","DP 26",0.0381167760183604
"2","norm","1","DP 26",0.0446297507365989
"2","norm","2","DP 26",0.0511520867359257
"2","norm","3","DP 26",0.0575724573639113
"1","2x","1","DP 26",0.0428186490850911
"1","2x","2","DP 26",0.0738866606137393
"1","2x","3","DP 26",0.073829019612811
"1","1:04","1","DP 27",0.0507254615744421
"1","1:04","2","DP 27",0.0762222717922697
"1","1:04","3","DP 27",0.0833175313644016
"2","1:04","1","DP 27",0.013461813698186
"2","1:04","2","DP 27",0.0227536320376827
"2","1:04","3","DP 27",0.00654659793462111
"2","norm","1","DP 27",0.014238193837444
"2","norm","2","DP 27",0.020362712723317
"2","norm","3","DP 27",0.0269220157660961
"1","2x","1","DP 27",0.0199881474082224
"1","2x","2","DP 27",0.0507498388035852
"1","2x","3","DP 27",0.0497849333925664
"1","1:04","1","DP 28",0.0751505870740325
"1","1:04","2","DP 28",0.122830491361864
"1","1:04","3","DP 28",0.0866260691182962
"2","1:04","1","DP 28",-0.00512481146106305
"2","1:04","2","DP 28",0.0884023133153941
"2","1:04","3","DP 28",0.0441337384086693
"2","norm","1","DP 28",0.0534436590411659
"2","norm","2","DP 28",0.0641793843792662
"2","norm","3","DP 28",0.0647245054800004
"1","2x","1","DP 28",0.0465957047576613
"1","2x","2","DP 28",0.110823593317998
"1","2x","3","DP 28",0.0899443563954063
"1","1:04","1","DP 29",0.0710084629159908
"1","1:04","2","DP 29",0.105854902898329
"1","1:04","3","DP 29",0.081340980448945
"2","1:04","1","DP 29",-0.00504501548172976
"2","1:04","2","DP 29",0.0544485801040154
"2","1:04","3","DP 29",0.0387090772001295
"2","norm","1","DP 29",0.0475374618429191
"2","norm","2","DP 29",0.0531677933341927
"2","norm","3","DP 29",0.0594510397018717
"1","2x","1","DP 29",0.0457007487321934
"1","2x","2","DP 29",0.0833102877090456
"1","2x","3","DP 29",0.0816307276450347
"1","1:04","1","DP 30",0.0683345802504275
"1","1:04","2","DP 30",0.0931498851259529
"1","1:04","3","DP 30",0.0766833972080022
"2","1:04","1","DP 30",0.00567289023252907
"2","1:04","2","DP 30",0.0429418308066376
"2","1:04","3","DP 30",0.0286824098339338
"2","norm","1","DP 30",0.038750596785022
"2","norm","2","DP 30",0.042973998948334
"2","norm","3","DP 30",0.0483067020143145
"1","2x","1","DP 30",0.0431547016152691
"1","2x","2","DP 30",0.0737075421451555
"1","2x","3","DP 30",0.0685702145733266
"1","1:04","1","DP 31",0.0537667757473755
"1","1:04","2","DP 31",0.0825935755158406
"1","1:04","3","DP 31",0.0639356788527507
"2","1:04","1","DP 31",-0.0158172614897841
"2","1:04","2","DP 31",0.0334138619766862
"2","1:04","3","DP 31",0.0229153216508188
"2","norm","1","DP 31",0.0328304977583323
"2","norm","2","DP 31",0.0357940764109212
"2","norm","3","DP 31",0.0394967898927699
"1","2x","1","DP 31",0.0305295505050291
"1","2x","2","DP 31",0.0614890202388049
"1","2x","3","DP 31",0.0612676621340207
"1","1:04","1","DP 32",0.0619981293985114
"1","1:04","2","DP 32",0.0889164491101282
"1","1:04","3","DP 32",0.0702861836016627
"2","1:04","1","DP 32",0
"2","1:04","2","DP 32",0.0435143639849246
"2","1:04","3","DP 32",0.0297061290378366
"2","norm","1","DP 32",0.0399967477636457
"2","norm","2","DP 32",0.0433545546462341
"2","norm","3","DP 32",0.0569888857012929
"1","2x","1","DP 32",0.0413565518727323
"1","2x","2","DP 32",0.0717204963490826
"1","2x","3","DP 32",0.0771148350110386
"1","1:04","1","DP 33",0.0585040118523686
"1","1:04","2","DP 33",0.087271001175466
"1","1:04","3","DP 33",0.0654211962373205
"2","1:04","1","DP 33",0
"2","1:04","2","DP 33",0.0467712381049388
"2","1:04","3","DP 33",0.033675504649741
"2","norm","1","DP 33",0.046462269404964
"2","norm","2","DP 33",0.0482288994985266
"2","norm","3","DP 33",0.0472889897671539
"1","2x","1","DP 33",0.0387441876180722
"1","2x","2","DP 33",0.0687853089456651
"1","2x","3","DP 33",0.0674669746195478
"1","1:04","1","DP 34",0.0572629008754221
"1","1:04","2","DP 34",0.0876557269916272
"1","1:04","3","DP 34",0.0506631012191118
"2","1:04","1","DP 34",-0.00225737357508792
"2","1:04","2","DP 34",0.0376794233983944
"2","1:04","3","DP 34",0.0258458028049519
"2","norm","1","DP 34",0.0382314673149325
"2","norm","2","DP 34",0.0400892072304137
"2","norm","3","DP 34",0.0528773645638474
"1","2x","1","DP 34",0.0384782743276169
"1","2x","2","DP 34",0.0682284118812558
"1","2x","3","DP 34",0.0656903496864911
"1","1:04","1","DP 35",0.0552155591196558
"1","1:04","2","DP 35",0.0886306878531917
"1","1:04","3","DP 35",0.0713428672661014
"2","1:04","1","DP 35",0
"2","1:04","2","DP 35",0.0431673956437849
"2","1:04","3","DP 35",0.0327607775740365
"2","norm","1","DP 35",0.0461775539179279
"2","norm","2","DP 35",0.0456762989710062
"2","norm","3","DP 35",0.0509168809061702
"1","2x","1","DP 35",0.0437965435890654
"1","2x","2","DP 35",0.0720283992949134
"1","2x","3","DP 35",0.0682815234144781
"1","1:04","1","DP 36",0.057004327262213
"1","1:04","2","DP 36",0.0787873246863885
"1","1:04","3","DP 36",0.0638118297472738
"2","1:04","1","DP 36",0
"2","1:04","2","DP 36",0.0353527557385178
"2","1:04","3","DP 36",0.0259560738182893
"2","norm","1","DP 36",0.038729331615918
"2","norm","2","DP 36",0.0380714884755362
"2","norm","3","DP 36",0.0425376224726767
"1","2x","1","DP 36",0.0375923983478715
"1","2x","2","DP 36",0.062779716279021
"1","2x","3","DP 36",0.0600579625094721
"1","1:04","1","DP 37",0.0522587695275285
"1","1:04","2","DP 37",0.0674389598769614
"1","1:04","3","DP 37",0.0581044323297679
"2","1:04","1","DP 37",0
"2","1:04","2","DP 37",0.031358434383928
"2","1:04","3","DP 37",0.021925468559378
"2","norm","1","DP 37",0.0315750391620225
"2","norm","2","DP 37",0.0331894575409326
"2","norm","3","DP 37",0.0363368880662981
"1","2x","1","DP 37",0.0338967701229209
"1","2x","2","DP 37",0.0538507709853483
"1","2x","3","DP 37",0.0508992051274534
"1","1:04","1","DP 38",0.0454451007026446
"1","1:04","2","DP 38",0.0621496124044239
"1","1:04","3","DP 38",0.051628499642661
"2","1:04","1","DP 38",0
"2","1:04","2","DP 38",0.0295408581534133
"2","1:04","3","DP 38",0.0214300672178274
"2","norm","1","DP 38",0.0305296002490424
"2","norm","2","DP 38",0.0317216394797518
"2","norm","3","DP 38",0.0347932956184058
"1","2x","1","DP 38",0.0293520701033132
"1","2x","2","DP 38",0.0486556766623122
"1","2x","3","DP 38",0.0474915703175965
"1","1:04","1","DP 39",0.0429907374436458
"1","1:04","2","DP 39",0.0566355015737137
"1","1:04","3","DP 39",0.0476870712093565
"2","1:04","1","DP 39",0
"2","1:04","2","DP 39",0.0290933345186143
"2","1:04","3","DP 39",0.020849317192932
"2","norm","1","DP 39",0.0304086699643717
"2","norm","2","DP 39",0.0312821176819142
"2","norm","3","DP 39",0.0329792846413697
"1","2x","1","DP 39",0.0283735459723625
"1","2x","2","DP 39",0.0425494299517104
"1","2x","3","DP 39",0.0402761258815708
"1","1:04","1","DP 40",0.0370825658129631
"1","1:04","2","DP 40",0.0540149501376351
"1","1:04","3","DP 40",0.0423440842019703
"2","1:04","1","DP 40",0
"2","1:04","2","DP 40",0.032871560807068
"2","1:04","3","DP 40",0.0262885211548777
"2","norm","1","DP 40",0.0359845754057945
"2","norm","2","DP 40",0.0351044637263645
"2","norm","3","DP 40",0.0373423697797378
"1","2x","1","DP 40",0.0245912633172297
"1","2x","2","DP 40",0.039915316711828
"1","2x","3","DP 40",0.037391696420036
"1","1:04","1","DP 41",0.0299596053925786
"1","1:04","2","DP 41",0.0445948263233675
"1","1:04","3","DP 41",0.0375623027237323
"2","1:04","1","DP 41",0.0117623874859223
"2","1:04","2","DP 41",0.0290828118975076
"2","1:04","3","DP 41",0.0145006546452786
"2","norm","1","DP 41",0.0217720080062814
"2","norm","2","DP 41",0.0267546933075953
"2","norm","3","DP 41",0.0201049981111074
"1","2x","1","DP 41",0.0184944754576795
"1","2x","2","DP 41",0.0328937802883313
"1","2x","3","DP 41",0.0271339451603231
"1","1:04","1","DP 42",0.0334490384544239
"1","1:04","2","DP 42",0.0494315206420673
"1","1:04","3","DP 42",0.0374555321453145
"2","1:04","1","DP 42",0
"2","1:04","2","DP 42",0.034543425604366
"2","1:04","3","DP 42",0.0308344693134389
"2","norm","1","DP 42",0.0411621324065779
"2","norm","2","DP 42",0.0404172095462531
"2","norm","3","DP 42",0.0396080462052594
"1","2x","1","DP 42",0.0230893924548438
"1","2x","2","DP 42",0.0363969317945931
"1","2x","3","DP 42",0.0361165367812352
