time,signal
5.000167,2.55135
5.0085,2.50965
5.016833,2.4451
5.025167,2.35915
5.0335,2.2602
5.041833,2.153
5.050167,2.0458
5.0585,1.942
5.066833,1.84555
5.075167,1.7597
5.0835,1.6841
5.091833,1.62045
5.100167,1.5693
5.1085,1.52765
5.116833,1.49995
5.125167,1.4851
5.1335,1.50095
5.141833,1.5822
5.150167,1.85575
5.1585,2.6998
5.166833,5.2441
5.175167,12.5898
5.1835,31.97765
5.191833,74.886951
5.200167,145.641102
5.2085,222.530553
5.216833,273.759704
5.225167,297.381304
5.2335,308.245805
5.241833,314.188755
5.250167,317.792905
5.2585,319.950255
5.266833,320.912055
5.275167,320.632805
5.2835,318.738205
5.291833,314.304605
5.300167,305.981005
5.3085,293.373904
5.316833,277.573004
5.325167,260.685604
5.3335,245.485654
5.341833,233.560853
5.350167,225.087103
5.3585,219.461053
5.366833,215.891753
5.375167,213.649703
5.3835,212.159353
5.391833,211.077403
5.400167,210.205403
5.4085,209.442053
5.416833,208.691003
5.425167,207.871353
5.4335,206.710403
5.441833,204.127953
5.450167,197.883803
5.4585,186.068753
5.466833,169.075653
5.475167,148.905252
5.4835,127.664952
5.491833,107.050202
5.500167,88.310851
5.5085,72.206701
5.516833,58.984151
5.525167,48.457901
5.5335,39.967851
5.541833,33.38375
5.550167,28.39585
5.5585,24.4962
5.566833,21.39775
5.575167,18.9093
5.5835,16.88995
5.591833,15.23165
5.600167,13.8515
5.6085,12.6926
5.616833,11.7025
5.625167,10.8438
5.6335,10.0907
5.641833,9.41955
5.650167,8.816
5.6585,8.26575
5.666833,7.7611
5.675167,7.29355
5.6835,6.85855
5.691833,6.4558
5.700167,6.08485
5.7085,5.74215
5.716833,5.4244
5.725167,5.13505
5.7335,4.87125
5.741833,4.6303
5.750167,4.41105
5.7585,4.211
5.766833,4.0286
5.775167,3.86555
5.7835,3.7183
5.791833,3.58695
5.800167,3.4696
5.8085,3.3663
5.816833,3.27975
5.825167,3.2034
5.8335,3.1387
5.841833,3.0863
5.850167,3.0452
5.8585,3.01135
5.866833,2.9856
5.875167,2.96655
5.8835,2.95065
5.891833,2.9384
5.900167,2.9249
5.9085,2.90945
5.916833,2.89195
5.925167,2.87055
5.9335,2.8436
5.941833,2.81235
5.950167,2.77855
5.9585,2.7386
5.966833,2.6963
5.975167,2.6497
5.9835,2.5996
5.991833,2.54755
6.000167,2.49525
6.0085,2.44295
6.016833,2.3901
6.025167,2.33815
6.0335,2.2887
6.041833,2.2407
6.050167,2.1948
6.0585,2.1534
6.066833,2.1074
6.075167,2.06545
6.0835,2.0287
6.091833,1.9933
6.100167,1.95925
6.1085,1.92875
6.116833,1.9018
6.125167,1.87505
6.1335,1.85145
6.141833,1.82945
6.150167,1.8105
6.1585,1.793
6.166833,1.7758
6.175167,1.75915
6.1835,1.74395
6.191833,1.72735
6.200167,1.71075
6.2085,1.6934
6.216833,1.67745
6.225167,1.66025
6.2335,1.643
6.241833,1.6269
6.250167,1.6103
6.2585,1.5951
6.266833,1.58035
6.275167,1.56665
6.2835,1.5536
6.291833,1.541
6.300167,1.5296
6.3085,1.5181
6.316833,1.5071
6.325167,1.4957
6.3335,1.4845
6.341833,1.4739
6.350167,1.46265
6.3585,1.45155
6.366833,1.44125
6.375167,1.43145
6.3835,1.42575
6.391833,1.4142
6.400167,1.40495
6.4085,1.3998
6.416833,1.39525
6.425167,1.39295
6.4335,1.39175
6.441833,1.39305
6.450167,1.3991
6.4585,1.4081
6.466833,1.4196
6.475167,1.4334
6.4835,1.45025
6.491833,1.46885
6.500167,1.48855
6.5085,1.50625
6.516833,1.524
6.525167,1.5394
6.5335,1.55145
6.541833,1.55835
6.550167,1.56235
6.5585,1.56375
6.566833,1.5585
6.575167,1.54935
6.5835,1.5368
6.591833,1.5225
6.600167,1.5053
6.6085,1.48765
6.616833,1.4684
6.625167,1.4501
6.6335,1.43205
6.641833,1.41445
6.650167,1.39795
6.6585,1.38155
6.666833,1.3704
6.675167,1.35345
6.6835,1.3408
6.691833,1.329
6.700167,1.31835
6.7085,1.30835
6.716833,1.29985
6.725167,1.2907
6.7335,1.28225
6.741833,1.2751
6.750167,1.2705
6.7585,1.2667
6.766833,1.2652
6.775167,1.26505
6.7835,1.26785
6.791833,1.272
6.800167,1.28005
6.8085,1.2877
6.816833,1.2969
6.825167,1.3076
6.8335,1.31845
6.841833,1.33005
6.850167,1.3411
6.8585,1.34905
6.866833,1.3545
6.875167,1.3563
6.8835,1.3553
6.891833,1.35105
6.900167,1.3443
6.9085,1.33435
6.916833,1.3214
6.925167,1.30875
6.9335,1.29325
6.941833,1.277
6.950167,1.2603
6.9585,1.2468
6.966833,1.23275
6.975167,1.21935
6.9835,1.20805
6.991833,1.19775
7.000167,1.19055
7.0085,1.18635
7.016833,1.1822
7.025167,1.1803
7.0335,1.18105
7.041833,1.18285
7.050167,1.1886
7.0585,1.1938
7.066833,1.19895
7.075167,1.20755
7.0835,1.2184
7.091833,1.22475
7.100167,1.234
7.1085,1.2424
7.116833,1.24835
7.125167,1.2525
7.1335,1.25635
7.141833,1.25955
7.150167,1.2628
7.1585,1.26405
7.166833,1.26515
7.175167,1.26635
7.1835,1.26605
7.191833,1.26405
7.200167,1.26225
7.2085,1.2606
7.216833,1.25715
7.225167,1.2511
7.2335,1.2463
7.241833,1.23865
7.250167,1.2304
7.2585,1.2214
7.266833,1.20995
7.275167,1.1964
7.2835,1.1841
7.291833,1.16795
7.300167,1.1543
7.3085,1.1366
7.316833,1.12045
7.325167,1.1038
7.3335,1.0883
7.341833,1.07275
7.350167,1.05825
7.3585,1.04575
7.366833,1.03415
7.375167,1.02445
7.3835,1.0165
7.391833,1.0089
7.400167,1.00325
7.4085,0.9987
7.416833,0.99485
7.425167,0.99315
7.4335,0.9925
7.441833,0.99285
7.450167,0.99455
7.4585,0.99265
7.466833,0.9911
7.475167,0.99085
7.4835,0.98975
7.491833,0.98785
7.500167,0.98475
7.5085,0.9826
7.516833,0.9802
7.525167,0.9778
7.5335,0.9729
7.541833,0.9702
7.550167,0.9656
7.5585,0.9613
7.566833,0.956
7.575167,0.9531
7.5835,0.94885
7.591833,0.9458
7.600167,0.9419
7.6085,0.9386
7.616833,0.93505
7.625167,0.9319
7.6335,0.92945
7.641833,0.92635
7.650167,0.92335
7.6585,0.92085
7.666833,0.91865
7.675167,0.91625
7.6835,0.9143
7.691833,0.91205
7.700167,0.90945
7.7085,0.90895
7.716833,0.9087
7.725167,0.9106
7.7335,0.9132
7.741833,0.92055
7.750167,0.9291
7.7585,0.94565
7.766833,0.97105
7.775167,1.0171
7.7835,1.09935
7.791833,1.24975
7.800167,1.5347
7.8085,2.0758
7.816833,3.0905
7.825167,4.9648
7.8335,8.3199
7.841833,14.05015
7.850167,23.22325
