"","pre.treatment","rep","conc"
"301","NOW",1,0.120233509682699
"302","NOW",2,0.135934724322719
"303","NOW",3,0.131389290477562
"304","Sigma Chicory",1,0.109430796568991
"305","Sigma Chicory",2,0.113613815599822
"306","Sigma Chicory",3,0.0901338079598519
"307","fructose",1,0.191030867371132
"308","fructose",2,0.182502187054394
"309","fructose",3,0.17478108177537
"310","glucose",1,0.194259288080668
"311","glucose",2,0.198431614662022
"312","glucose",3,0.100690956653516
"313","sucrose",1,0.18234691809916
"314","sucrose",2,0.199247382881686
"315","sucrose",3,0.205864029043782
"316","control",1,0.127585891266373
"317","control",2,0.150159323218237
"318","control",3,0.161828297313026
"319","Sigma Dahlia",1,0.0696810003596337
"320","Sigma Dahlia",2,0.049876742172386
"321","Sigma Dahlia",3,0.0579768174044346
"322","NOW",1,0.107784414903924
"323","NOW",2,0.118804932158483
"324","NOW",3,0.11875761936762
"325","Sigma Chicory",1,0.0924388521011457
"326","Sigma Chicory",2,0.101986193264781
"327","Sigma Chicory",3,0.0915394358456169
"328","fructose",1,0.168490485996225
"329","fructose",2,0.168798859657473
"330","fructose",3,0.167133101342779
"331","glucose",1,0.157803754834654
"332","glucose",2,0.176080920197047
"333","glucose",3,0.116265733258714
"334","sucrose",1,0.172159061898203
"335","sucrose",2,0.186602420560026
"336","sucrose",3,0.188713049317394
"337","control",1,0.171312830890506
"338","control",2,0.167474391329639
"339","control",3,0.180991275979305
"340","Sigma Dahlia",1,0.124212709789239
"341","Sigma Dahlia",2,0.0479455563654313
"342","Sigma Dahlia",3,0.0574963249045742
"343","NOW",1,0.122389246749779
"344","NOW",2,0.170066438498324
"345","NOW",3,0.133154175602444
"346","Sigma Chicory",1,0.117757746272637
"347","Sigma Chicory",2,0.138949868972702
"348","Sigma Chicory",3,0.0875816601967713
"349","fructose",1,0.218018065798916
"350","fructose",2,0.180092042539122
"351","fructose",3,0.163812804509611
"352","glucose",1,0.133426778878839
"353","glucose",2,0.192829949086432
"354","glucose",3,0.090237913255409
"355","sucrose",1,0.164385334929333
"356","sucrose",2,0.181704230946963
"357","sucrose",3,0.210922411521233
"358","control",1,0.106577902960284
"359","control",2,0.150922790879184
"360","control",3,0.130972226929917
"361","Sigma Dahlia",1,0.0593462763346208
"362","Sigma Dahlia",2,0.0440754735684436
"363","Sigma Dahlia",3,0.0485970749442227
"364","NOW",1,0.0951747383191498
"365","NOW",2,0.096608376321557
"366","NOW",3,0.0957063601014217
"367","Sigma Chicory",1,0.0751694197801264
"368","Sigma Chicory",2,0.097115366100231
"369","Sigma Chicory",3,0.0711991022330494
"370","fructose",1,0.150144092830319
"371","fructose",2,0.139873072837248
"372","fructose",3,0.138894491910537
"373","glucose",1,0.121767574955962
"374","glucose",2,0.143963425222328
"375","glucose",3,0.0882987456532982
"376","sucrose",1,0.135338235259028
"377","sucrose",2,0.138045708254173
"378","sucrose",3,0.156922680393212
"379","control",1,0.102823402063874
"380","control",2,0.098604293216944
"381","control",3,0.125622343775762
"382","Sigma Dahlia",1,0.0539688061479881
"383","Sigma Dahlia",2,0.0479491510224762
"384","Sigma Dahlia",3,0.0310119972350508
"385","NOW",1,0.0852444885972749
"386","NOW",2,0.0941095743802339
"387","NOW",3,0.0912878114264011
"388","Sigma Chicory",1,0.06171560072148
"389","Sigma Chicory",2,0.0865701915046069
"390","Sigma Chicory",3,0.0803467284074153
"391","fructose",1,0.135783109934844
"392","fructose",2,0.128503718075057
"393","fructose",3,0.123518085308997
"394","glucose",1,0.1495842690191
"395","glucose",2,0.133195324758541
"396","glucose",3,0.0967178841601667
"397","sucrose",1,0.123905165574667
"398","sucrose",2,0.155752200242779
"399","sucrose",3,0.1450786051687
"400","control",1,0.0984067283825033
"401","control",2,0.102930457180005
"402","control",3,0.124556262865465
"403","Sigma Dahlia",1,0.0605104542588102
"404","Sigma Dahlia",2,0.0347237691860978
"405","Sigma Dahlia",3,0.0482794014325581
"406","NOW",1,0.0910472888188268
"407","NOW",2,0.0898084638746664
"408","NOW",3,0.0881331434586794
"409","Sigma Chicory",1,0.0789769807299983
"410","Sigma Chicory",2,0.0852707206041099
"411","Sigma Chicory",3,0.0641444491364101
"412","fructose",1,0.132445852756894
"413","fructose",2,0.128168928478999
"414","fructose",3,0.131649367884702
"415","glucose",1,0.105607822239249
"416","glucose",2,0.128891314952159
"417","glucose",3,0.0939001919199029
"418","sucrose",1,0.136777676605209
"419","sucrose",2,0.121945923316275
"420","sucrose",3,0.141453823617085
"421","control",1,0.111663130949415
"422","control",2,0.121484437115337
"423","control",3,0.14194047224742
"424","Sigma Dahlia",1,0.0855818991728818
"425","Sigma Dahlia",2,0.0319605505859432
"426","Sigma Dahlia",3,0.037323176004684
"427","NOW",1,0.0860394150695287
"428","NOW",2,0.121828604246636
"429","NOW",3,0.0977296211697625
"430","Sigma Chicory",1,0.126051434619045
"431","Sigma Chicory",2,0.113404279040523
"432","Sigma Chicory",3,0.0554619782874774
"433","fructose",1,0.16206955962479
"434","fructose",2,0.123735134354553
"435","fructose",3,0.115519580260814
"436","glucose",1,0.0994261566547299
"437","glucose",2,0.144031209993895
"438","glucose",3,0.0891036861467803
"439","sucrose",1,0.113029848987038
"440","sucrose",2,0.128589482041716
"441","sucrose",3,0.148224710365964
"442","control",1,0.0819147343583486
"443","control",2,0.0892033722858321
"444","control",3,0.0990308535618506
"445","Sigma Dahlia",1,0.0546490352016888
"446","Sigma Dahlia",2,0.0299431753723342
"447","Sigma Dahlia",3,0.0342119681333052
"448","NOW",1,0.0696197905549479
"449","NOW",2,0.0729948050298957
"450","NOW",3,0.0699720810211859
"451","Sigma Chicory",1,0.0626355483281203
"452","Sigma Chicory",2,0.0724599346786697
"453","Sigma Chicory",3,0.0522643426422771
"454","fructose",1,0.107760319995339
"455","fructose",2,0.108295111116912
"456","fructose",3,0.102869273825462
"457","glucose",1,0.0911371602472573
"458","glucose",2,0.105910162097378
"459","glucose",3,0.0834662347809144
"460","sucrose",1,0.100724470851777
"461","sucrose",2,0.117852573663044
"462","sucrose",3,0.113935101247197
"463","control",1,0.0790757712837989
"464","control",2,0.0865749859867324
"465","control",3,0.0970614214304129
"466","Sigma Dahlia",1,0.0474878517430871
"467","Sigma Dahlia",2,0.0272984183036326
"468","Sigma Dahlia",3,0.0316902037140005
"469","NOW",1,0.0627202619882474
"470","NOW",2,0.0717492385647799
"471","NOW",3,0.0665759248177475
"472","Sigma Chicory",1,0.0609792457906318
"473","Sigma Chicory",2,0.066854348733573
"474","Sigma Chicory",3,0.0471738219703016
"475","fructose",1,0.109929427045832
"476","fructose",2,0.0985499618606156
"477","fructose",3,0.096658583874552
"478","glucose",1,0.0822408035293084
"479","glucose",2,0.101436761286973
"480","glucose",3,0.0773893757005362
"481","sucrose",1,0.0943327792334764
"482","sucrose",2,0.110698192775827
"483","sucrose",3,0.109332664297429
"484","control",1,0.0735842565328572
"485","control",2,0.0771199022822263
"486","control",3,0.0883487453511746
"487","Sigma Dahlia",1,0.0447453571585037
"488","Sigma Dahlia",2,0.0250709212785766
"489","Sigma Dahlia",3,0.0287428338772154
"490","NOW",1,0.0550217516688815
"491","NOW",2,0.0648409098374443
"492","NOW",3,0.0590762441989354
"493","Sigma Chicory",1,0.0527870244729731
"494","Sigma Chicory",2,0.0614127585351633
"495","Sigma Chicory",3,0.0482431927539455
"496","fructose",1,0.102536366771829
"497","fructose",2,0.0894739084094155
"498","fructose",3,0.0875963669839803
"499","glucose",1,0.0750756235208828
"500","glucose",2,0.0919919425496585
"501","glucose",3,0.0681917359687408
"502","sucrose",1,0.0851333232156275
"503","sucrose",2,0.102727037611793
"504","sucrose",3,0.0993001020812663
"505","control",1,0.0637328353412803
"506","control",2,0.0664912860555409
"507","control",3,0.0774312134452339
"508","Sigma Dahlia",1,0.0371693005303565
"509","Sigma Dahlia",2,0.0216282686388391
"510","Sigma Dahlia",3,0.0257861673804599
"511","NOW",1,0.0494011448811682
"512","NOW",2,0.055998426879516
"513","NOW",3,0.0509853009706217
"514","Sigma Chicory",1,0.0450487949511083
"515","Sigma Chicory",2,0.0544634489948127
"516","Sigma Chicory",3,0.0383103348696178
"517","fructose",1,0.0918517153383821
"518","fructose",2,0.0813844162667616
"519","fructose",3,0.0818733959308567
"520","glucose",1,0.0649591065185342
"521","glucose",2,0.0802476059314917
"522","glucose",3,0.0641846593200389
"523","sucrose",1,0.0794896599221409
"524","sucrose",2,0.0993373802579182
"525","sucrose",3,0.0868320341658376
