"media","doses","DPn","conc"
"conditioned",1,33,0.122664419457573
"conditioned",1,33,0.108646580596026
"conditioned",1,33,0.103043590093004
"fresh",1,34,0.106562455725286
"fresh",1,34,0.0937930941034802
"fresh",1,34,0.103318569261299
"fresh",2,34,0.0736787938864748
"fresh",2,34,0.0603383192483126
"fresh",2,34,0.0646239786848012
"conditioned",1,34,0.11716565836623
"conditioned",1,34,0.10585691970885
"conditioned",1,34,0.101945478534714
"fresh",1,35,0.0834615137505101
"fresh",1,35,0.0756038908577726
"fresh",1,35,0.08224470797101
"fresh",2,35,0.0591903717403304
"fresh",2,35,0.0487809814349808
"fresh",2,35,0.0537391256803501
"conditioned",1,35,0.0923904881650061
"conditioned",1,35,0.0844055043883389
"conditioned",1,35,0.0817656347016051
"fresh",1,36,0.0713374226427493
"fresh",1,36,0.0641508591276647
"fresh",1,36,0.0707144152123511
"fresh",2,36,0.0501031489204488
"fresh",2,36,0.0399904308307595
"fresh",2,36,0.0553208912297013
"conditioned",1,36,0.0966443274177947
"conditioned",1,36,0.0838863943359053
"conditioned",1,36,0.0809144556103757
"fresh",1,37,0.0929996247125611
"fresh",1,37,0.0829778590784012
"fresh",1,37,0.0917089992346512
"fresh",2,37,0.0606005148251903
"fresh",2,37,0.0427391035536035
"fresh",2,37,0.0375671432621857
"conditioned",1,37,0.0965769824010271
"conditioned",1,37,0.084081326229131
"conditioned",1,37,0.0810178250544023
"fresh",1,38,0.0813942666206553
"fresh",1,38,0.0722560466660645
"fresh",1,38,0.0800359862811532
"fresh",2,38,0.0481153057333148
"fresh",2,38,0.0376268492845231
"fresh",2,38,0.0337031312178888
"conditioned",1,38,0.0893332569144148
"conditioned",1,38,0.0737313216741615
"conditioned",1,38,0.0738727328967983
"fresh",1,39,0.0756684949696368
"fresh",1,39,0.066846022333671
"fresh",1,39,0.0743767822003013
"fresh",2,39,0.0459916883489917
"fresh",2,39,0.0363803171685826
"fresh",2,39,0.0336974730799863
"conditioned",1,39,0.0835367163147129
"conditioned",1,39,0.068938076597982
"conditioned",1,39,0.0691865913041135
"fresh",1,40,0.0701026290517106
"fresh",1,40,0.0620220586356742
"fresh",1,40,0.0691523257898798
"fresh",2,40,0.0430773145241976
"fresh",2,40,0.0339522265165274
"fresh",2,40,0.0313812784386773
"conditioned",1,40,0.0783865651891635
"conditioned",1,40,0.064204073070134
"conditioned",1,40,0.0647431479362456
"fresh",1,41,0.0661823523152179
"fresh",1,41,0.0582944436059863
"fresh",1,41,0.0653526750642172
"fresh",2,41,0.0400968903843809
"fresh",2,41,0.0317657573540922
"fresh",2,41,0.028907278753534
"conditioned",1,41,0.0730262079068225
"conditioned",1,41,0.0593372510887755
"conditioned",1,41,0.0601450558365443
"fresh",1,42,0.0623021259055905
"fresh",1,42,0.0543632411741047
"fresh",1,42,0.0622284539943642
"fresh",2,42,0.041133226899757
"fresh",2,42,0.0288274736741716
"fresh",2,42,0.0319524125674897
"conditioned",1,42,0.0721800418285778
"conditioned",1,42,0.0545220385033167
"conditioned",1,42,0.0554446211119198
"fresh",1,43,0.0580097104835467
