Day,Hour,Vessel,time,Rep,Acetate,propionate,isobutyrate,Butyrate,isovalerate,valerate
10,16,3,10.66666667,3,6.65307,2.04727,0.69785,2.89154,1.33795,0.96029
10,16,4,10.66666667,1,6.1585,1.36483,0.76454,3.48627,1.35603,1.19176
10,16,4,10.66666667,2,6.11714,1.36293,0.74796,3.42586,1.30981,1.14521
10,16,4,10.66666667,3,5.99534,1.33735,0.78505,3.32769,1.27814,1.12007
10,16,6,10.66666667,1,6.81167,1.78941,0.75844,3.02787,1.45674,1.21158
10,16,6,10.66666667,2,6.51276,1.73979,0.73896,2.96169,1.4013,1.17746
10,16,6,10.66666667,3,6.32625,1.66603,0.71188,2.85232,1.3669,1.13215
10,16,7,10.66666667,1,6.64203,1.06149,0.72313,3.52883,1.37913,0.89807
10,16,7,10.66666667,2,6.70241,1.05149,0.71364,3.49663,1.34662,0.88863
10,16,7,10.66666667,3,6.28095,1.00202,0.69332,3.39308,1.31477,0.85255
10,16,8,10.66666667,1,6.49456,1.55547,0.75286,3.17042,1.42636,1.19838
10,16,8,10.66666667,2,6.46655,1.51748,0.68366,2.97922,1.28472,1.0959
10,16,8,10.66666667,3,6.68431,1.58776,0.73834,3.15453,1.40721,1.19353
11,8,1,11.33333333,1,6.62321,1.53664,0.73439,3.27128,1.37035,1.15031
11,8,1,11.33333333,2,6.71775,1.56323,0.73295,3.30746,1.38036,1.15918
11,8,1,11.33333333,3,6.48619,1.54495,0.76292,3.35083,1.45038,1.20562
11,8,2,11.33333333,1,5.77504,1.4319,0.73787,3.31709,1.38713,1.25886
11,8,2,11.33333333,2,5.69857,1.38753,0.69958,3.19841,1.32567,1.21013
11,8,2,11.33333333,3,5.79556,1.43084,0.75518,3.37997,1.4376,1.30864
11,8,3,11.33333333,1,6.82585,2.05488,0.73445,2.92988,1.41142,0.9791
11,8,3,11.33333333,2,6.36073,1.9403,0.72047,2.82277,1.38781,0.94638
11,8,3,11.33333333,3,6.8748,2.09287,0.74647,2.96314,1.44362,0.9958
11,8,4,11.33333333,1,6.21908,1.37511,0.75602,3.43701,1.35402,1.08134
11,8,4,11.33333333,2,5.75646,1.28169,0.70419,3.2369,1.265,0.99938
11,8,4,11.33333333,3,6.50193,1.42725,0.77189,3.54101,1.3953,1.13543
11,8,6,11.33333333,1,6.45386,1.82123,0.75361,2.93764,1.42177,1.13066
11,8,6,11.33333333,2,6.69491,1.82099,0.72641,2.91081,1.37148,1.11174
11,8,6,11.33333333,3,6.75616,1.8861,0.77268,3.02362,1.47039,1.16505
11,8,7,11.33333333,1,6.85813,1.10735,0.68449,3.45546,1.30801,0.78488
11,8,7,11.33333333,2,7.25651,1.17534,0.75942,3.72316,1.43983,0.86633
11,8,7,11.33333333,3,7.19299,1.17388,0.74451,3.70184,1.42985,0.85667
11,8,8,11.33333333,1,6.75123,1.5873,0.80533,3.39773,1.49792,1.22459
11,8,8,11.33333333,2,5.83808,1.3652,0.69113,2.94045,1.30397,1.06504
11,8,8,11.33333333,3,6.53054,1.49969,0.70113,3.11042,1.34041,1.1006
11,16,1,11.66666667,1,6.57579,1.49105,0.73633,3.40955,1.38817,1.18933
11,16,1,11.66666667,2,6.51768,1.46409,0.73113,3.37428,1.36513,1.16538
11,16,1,11.66666667,3,6.24104,1.44421,0.75107,3.39379,1.41114,1.18695
11,16,2,11.66666667,1,5.90403,1.42777,0.73883,3.38388,1.38749,1.28934
11,16,2,11.66666667,2,5.71369,1.4213,0.76974,3.44393,1.44497,1.31743
11,16,2,11.66666667,3,5.87299,1.42879,0.73672,3.4001,1.38939,1.29731
11,16,3,11.66666667,1,7.28515,2.20282,0.86127,3.37722,1.61563,1.12982
11,16,3,11.66666667,2,6.48215,1.39159,0.77108,3.61691,1.39859,1.12265
11,16,3,11.66666667,3,6.76089,2.02749,0.75212,3.02776,1.44125,1.0027
11,16,4,11.66666667,1,6.15412,1.30694,0.74109,3.48822,1.33752,1.07436
11,16,4,11.66666667,2,6.99431,2.07616,0.7592,3.05875,1.43375,1.01508
11,16,4,11.66666667,3,6.50928,1.38155,0.76985,3.61908,1.38991,1.12702
11,16,6,11.66666667,1,6.77666,1.84734,0.73897,3.00347,1.40584,1.12981
11,16,6,11.66666667,2,6.71898,1.81683,0.72123,2.94355,1.36341,1.09581
11,16,6,11.66666667,3,6.602,1.84109,0.77639,3.07009,1.47111,1.15663
11,16,7,11.66666667,1,7.00544,1.19437,0.71055,3.64781,1.34924,0.79329
11,16,7,11.66666667,2,6.59945,1.14929,0.71763,3.55346,1.35184,0.79268
11,16,7,11.66666667,3,6.86028,1.1799,0.71498,3.60477,1.34494,0.78788
11,16,8,11.66666667,1,6.72104,1.55254,0.79092,3.39783,1.49334,1.21834
11,16,8,11.66666667,2,6.54405,1.50887,0.77121,3.32077,1.44112,1.18558
11,16,8,11.66666667,3,6.52256,1.47781,0.73012,3.20504,1.37578,1.13665
12,16,1,12.66666667,1,6.44096,1.47788,0.7809,3.53352,1.45918,1.24306
12,16,1,12.66666667,2,6.38898,1.44807,0.74669,3.42663,1.38574,1.1862
12,16,1,12.66666667,3,6.28379,1.46515,0.78716,3.51145,1.46666,1.22597
12,16,2,12.66666667,1,5.1942,1.23673,0.6495,3.09374,1.23203,1.18976
12,16,2,12.66666667,2,5.22465,1.27242,0.71297,3.27689,1.33726,1.23012
12,16,2,12.66666667,3,5.55578,1.3552,0.75792,3.46605,1.42535,1.32624
12,16,3,12.66666667,1,6.63469,1.9259,0.71686,2.94561,1.34271,0.93801
12,16,3,12.66666667,2,6.42701,1.91869,0.73149,2.97018,1.38766,0.96702
12,16,3,12.66666667,3,6.78424,2.00522,0.78011,3.12613,1.46404,1.02906
12,16,4,12.66666667,1,6.23687,1.32887,0.8107,3.92514,1.46977,1.16101
12,16,4,12.66666667,2,5.95774,1.25272,0.773,3.74796,1.39937,1.10953
12,16,4,12.66666667,3,6.00319,1.28158,0.77539,3.73363,1.38332,1.10525
12,16,6,12.66666667,1,6.57766,1.90299,0.77199,3.16206,1.45265,1.1724
12,16,6,12.66666667,2,6.41973,1.87627,0.78335,3.14257,1.45918,1.15743
12,16,6,12.66666667,3,6.25838,1.79125,0.72253,2.98047,1.36148,1.09594
12,16,7,12.66666667,1,7.12252,1.34364,0.77379,3.85067,1.43476,0.805
12,16,7,12.66666667,2,7.06808,1.35505,0.7613,3.81103,1.418,0.78195
12,16,7,12.66666667,3,7.10281,1.33973,0.75044,3.79278,1.40363,0.77903
12,16,8,12.66666667,1,6.05174,1.38,0.69509,3.08461,1.2974,1.08117
12,16,8,12.66666667,2,6.00508,1.41165,0.75946,3.2495,1.4235,1.15294
12,16,8,12.66666667,3,5.95669,1.42454,0.76747,3.28627,1.4298,1.15899
13,16,1,13.66666667,1,6.34909,1.51107,0.81829,3.72931,1.49783,1.27765
13,16,1,13.66666667,2,6.29141,1.47579,0.77158,3.57768,1.4291,1.23721
13,16,1,13.66666667,3,6.38235,1.50085,0.785,3.6623,1.47313,1.26141
13,16,2,13.66666667,1,5.0187,1.11306,0.76079,3.57575,1.40572,1.31981
13,16,2,13.66666667,2,5.27265,1.16128,0.75813,3.6667,1.44193,1.35378
13,16,2,13.66666667,3,5.43115,1.21448,0.79599,3.78392,1.47785,1.40519
13,16,3,13.66666667,1,6.6853,1.93265,0.82144,3.3716,1.53292,1.09836
13,16,3,13.66666667,2,6.07182,1.77181,0.76362,3.10093,1.39722,1.01015
13,16,3,13.66666667,3,6.72317,1.90896,0.80271,3.30237,1.5,1.08243
13,16,4,13.66666667,1,6.07594,1.24466,0.82419,4.10267,1.45669,1.12751
13,16,4,13.66666667,2,5.91386,1.22504,0.81806,4.02301,1.44195,1.10614
13,16,4,13.66666667,3,5.76145,1.20368,0.78884,3.92108,1.39274,1.06949
13,16,6,13.66666667,1,5.96183,1.75295,0.81333,3.47062,1.50582,1.23555
13,16,6,13.66666667,2,6.1034,1.81196,0.84244,3.58376,1.55743,1.28305
13,16,6,13.66666667,3,6.20677,1.82101,0.82499,3.55193,1.51166,1.25812
13,16,7,13.66666667,1,6.28937,1.33098,0.74543,3.78476,1.37223,0.75916
13,16,7,13.66666667,2,6.95514,1.43461,0.76728,3.9596,1.39797,0.78948
13,16,7,13.66666667,3,6.92507,1.45916,0.77343,4.03005,1.44115,0.81558
13,16,8,13.66666667,1,5.73678,1.35574,0.76177,3.30695,1.42044,1.1494
13,16,8,13.66666667,2,5.96976,1.3919,0.78432,3.38615,1.44379,1.17293
13,16,8,13.66666667,3,6.11923,1.43133,0.78704,3.41418,1.4657,1.19119
14,8,1,14.33333333,1,6.05801,1.44559,0.80835,3.65292,1.4788,1.23113
14,8,1,14.33333333,2,6.21576,1.49239,0.78435,3.6643,1.45806,1.24424
14,8,1,14.33333333,3,6.24928,1.50638,0.82537,3.77592,1.53222,1.30574
14,8,2,14.33333333,1,5.00801,1.20543,0.87707,3.61479,1.50578,1.43601
14,8,2,14.33333333,2,4.9282,1.19108,0.86978,3.59922,1.49793,1.42671
14,8,2,14.33333333,3,4.89626,1.1834,0.86971,3.58079,1.49721,1.42397
14,8,3,14.33333333,1,6.53033,1.99994,0.91793,3.29962,1.59216,1.19059
14,8,3,14.33333333,2,6.09098,1.88433,0.90035,3.21458,1.56489,1.16022
14,8,3,14.33333333,3,6.51778,1.97395,0.90843,3.2436,1.56164,1.17121
14,8,4,14.33333333,1,5.62876,1.31566,0.95086,4.24635,1.53756,1.19702
14,8,4,14.33333333,2,5.52225,1.2756,0.91327,4.11015,1.48675,1.16358
14,8,4,14.33333333,3,5.47729,1.31485,0.97233,4.25083,1.60363,1.22596
14,8,6,14.33333333,1,5.71186,1.87369,0.94149,3.53858,1.59641,1.3387
14,8,6,14.33333333,2,5.4482,1.82005,0.94344,3.51555,1.62691,1.33662
14,8,6,14.33333333,3,5.75054,1.88819,0.94987,3.61321,1.61984,1.3446
14,8,7,14.33333333,1,6.3667,1.49609,0.90759,3.97578,1.54652,1.00517
14,8,7,14.33333333,2,6.34705,1.51281,0.89895,3.93355,1.51347,0.98723
14,8,7,14.33333333,3,6.31072,1.491,0.90508,3.96519,1.52485,0.99273
14,8,8,14.33333333,1,5.73359,1.45348,0.88757,3.37943,1.5095,1.26662
14,8,8,14.33333333,2,5.64067,1.4472,0.87434,3.3498,1.49604,1.2608
14,8,8,14.33333333,3,5.49195,1.44851,0.90748,3.36603,1.52538,1.27395
14,16,1,14.66666667,1,5.86383,1.5055,0.88097,3.55725,1.49321,1.30185
14,16,1,14.66666667,2,5.71846,1.49806,0.86683,3.49519,1.48491,1.29238
14,16,1,14.66666667,3,5.92096,1.53236,0.89068,3.60168,1.52097,1.32739
14,16,2,14.66666667,1,4.96962,1.1879,0.84469,3.55038,1.44381,1.37729
14,16,2,14.66666667,2,4.84779,1.17435,0.85544,3.54662,1.45276,1.37658
14,16,2,14.66666667,3,4.85902,1.18567,0.86487,3.59938,1.46563,1.38815
14,16,3,14.66666667,1,6.04274,1.72343,0.88303,3.44908,1.53845,1.18137
14,16,3,14.66666667,2,6.23334,1.74774,0.9017,3.48388,1.53464,1.18373
14,16,3,14.66666667,3,6.1007,1.71147,0.86741,3.41755,1.50851,1.15693
14,16,4,14.66666667,1,5.16626,1.26484,0.886,4.02561,1.431,1.10162
14,16,4,14.66666667,2,5.23362,1.27115,0.90175,4.03963,1.42745,1.11734
14,16,4,14.66666667,3,5.59265,1.35917,0.93907,4.27901,1.50741,1.16613
14,16,6,14.66666667,1,5.30646,1.81831,0.89387,3.51458,1.52562,1.29054
14,16,6,14.66666667,2,5.4862,1.83799,0.90326,3.5306,1.52002,1.27274
14,16,6,14.66666667,3,5.59039,1.85378,0.90329,3.57124,1.51893,1.29196
14,16,7,14.66666667,1,6.11349,1.46051,0.86129,3.79496,1.46848,0.98783
14,16,7,14.66666667,2,6.33059,1.469,0.8574,3.80337,1.45332,0.98164
14,16,7,14.66666667,3,5.37484,1.29099,0.78292,3.37142,1.31481,0.89735
14,16,8,14.66666667,1,5.40712,1.36534,0.86552,3.40702,1.47073,1.23401
14,16,8,14.66666667,2,5.79239,1.43669,0.9025,3.57648,1.53466,1.28422
14,16,8,14.66666667,3,5.49169,1.40641,0.8941,3.47574,1.52032,1.26012
15,8,1,15.33333333,1,6.30948,1.73791,0.8909,3.7518,1.51659,1.35781
15,8,1,15.33333333,2,6.21598,1.68775,0.87381,3.64574,1.47528,1.31829
15,8,1,15.33333333,3,7.13045,1.98385,1.03672,4.31528,1.76365,1.56438
15,8,2,15.33333333,1,5.88456,1.36881,0.92665,4.01307,1.57766,1.5227
15,8,2,15.33333333,2,5.62178,1.30331,0.89097,3.85494,1.53099,1.45572
15,8,2,15.33333333,3,5.63424,1.3093,0.8758,3.84854,1.50414,1.43885
15,8,3,15.33333333,1,5.84789,1.55366,0.89698,3.93825,1.53577,1.19009
15,8,3,15.33333333,2,5.66141,1.53257,0.86279,3.81601,1.48983,1.16686
15,8,3,15.33333333,3,5.82969,1.55578,0.89466,3.9493,1.53968,1.20894
15,8,4,15.33333333,1,5.79063,1.54952,0.91791,4.35731,1.46205,1.14916
15,8,4,15.33333333,2,5.76003,1.55952,0.93354,4.36776,1.48209,1.13949
15,8,4,15.33333333,3,5.86552,1.5625,0.9232,4.36466,1.46452,1.15339
15,8,6,15.33333333,1,6.01982,2.14925,0.96152,3.88347,1.62073,1.35277
15,8,6,15.33333333,2,6.03323,2.13946,0.91771,3.79024,1.5531,1.32601
15,8,6,15.33333333,3,5.78361,2.07376,0.9141,3.70923,1.52274,1.29546
15,8,7,15.33333333,1,6.51413,1.58493,0.88201,3.92664,1.49466,1.1139
15,8,7,15.33333333,2,6.42005,1.56153,0.86455,3.84291,1.47121,1.09259
15,8,7,15.33333333,3,5.95518,1.4642,0.8308,3.62764,1.39429,1.03071
