seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22	seq_23	seq_24	seq_25	seq_26	seq_27	seq_28	seq_29	seq_30	seq_31	seq_32	seq_33	seq_34	seq_35	seq_36	seq_37	seq_38	seq_39	seq_40	seq_41	seq_42	seq_43	seq_44	seq_45	seq_46	seq_47	seq_48	seq_49	seq_50	seq_51	seq_52	seq_53	seq_54	seq_55	seq_56	seq_57	seq_58	seq_59	seq_60	seq_61	seq_62	seq_63	seq_64	seq_65	seq_66	seq_67	seq_68	seq_69	seq_70	seq_71	seq_72	seq_73
GIJKM134	3838	3420	1048	2161	642	2112	295	1132	174	419	552	182	0	44	220	275	82	315	179	171	41	105	77	0	0	177	0	0	0	259	34	0	0	0	38	0	0	0	0	0	15	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
GIJKM135	14069	6200	6687	3088	1199	4739	627	2507	893	872	786	1187	0	163	447	706	144	486	329	383	171	219	211	0	86	399	36	0	0	234	56	84	0	0	34	75	15	17	0	0	27	0	14	90	8	0	0	22	0	0	46	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM136	4892	5720	292	1239	470	36	681	100	1465	399	146	65	0	14	0	193	352	135	44	148	21	54	92	0	130	0	156	0	0	0	64	0	0	0	19	0	0	40	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	19	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
GIJKM137	3111	4081	189	817	382	52	476	59	1115	379	125	42	0	0	0	167	250	89	30	104	18	40	79	0	142	12	114	0	0	0	61	0	0	0	13	0	0	36	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM138	2810	3947	131	1125	390	40	475	52	838	392	131	40	0	0	34	119	347	129	25	92	0	0	112	0	49	0	90	0	0	0	52	0	0	0	12	0	0	43	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM139	3693	3691	229	1868	500	14	382	84	844	249	120	50	0	0	0	181	71	142	31	90	22	46	99	0	68	0	81	0	0	0	45	0	0	0	14	0	0	0	0	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM140	5230	6472	402	2939	594	23	626	112	866	425	181	63	0	0	0	242	114	215	55	146	24	90	114	0	140	0	0	0	0	0	25	0	0	0	16	0	0	0	0	10	20	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM141	18516	19999	1222	5473	1500	69	1694	563	3674	1351	761	285	0	0	141	727	219	598	133	431	119	212	349	0	466	0	230	0	0	9	56	35	22	0	78	43	0	42	0	24	51	89	6	54	0	39	107	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	13	0	0	0	0	0	0	0	0	0	0
GIJKM142	893	496	183	463	74	0	34	0	148	103	38	29	0	0	0	33	12	50	16	46	0	0	0	0	148	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM143	9072	8021	1279	2909	605	64	394	189	1166	581	315	145	0	0	76	337	141	290	69	243	74	128	304	0	335	0	66	0	0	0	69	0	0	0	29	0	0	48	0	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM144	3710	3467	510	1952	378	15	142	89	594	391	172	97	0	0	0	206	58	232	47	130	31	52	311	0	308	0	0	0	0	0	70	0	0	0	21	0	4	37	0	12	15	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM145	8472	8163	9169	949	1405	570	889	624	38	278	324	361	376	464	369	170	168	160	208	146	167	118	48	107	83	0	0	58	75	23	14	47	19	23	0	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM146	8277	5918	7820	648	1577	632	895	727	53	278	377	414	326	465	327	118	163	100	193	159	172	179	129	66	88	0	0	59	71	17	39	49	12	14	0	0	17	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM147	2599	2371	2931	363	660	286	358	444	0	165	233	166	168	289	161	85	57	62	123	83	65	0	45	41	60	0	26	14	0	7	23	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM148	14106	9499	11921	2021	9288	832	4049	1262	106	618	566	649	780	907	410	395	372	459	415	254	226	273	0	167	117	0	132	102	104	49	43	109	95	26	7	0	41	0	0	6	0	64	8	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0
GIJKM149	6417	3691	5150	805	2936	405	1665	522	62	222	256	377	362	375	224	129	210	106	155	111	146	126	58	69	44	15	35	49	76	18	0	47	38	20	0	0	12	0	0	0	0	0	0	0	0	12	0	7	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM150	5407	4585	5285	1235	4002	352	1775	519	81	263	282	321	332	397	249	172	249	157	196	133	114	113	94	103	30	0	104	48	51	24	30	0	53	15	0	0	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
GIJKM151	5271	3781	4806	872	392	78	97	862	16	207	239	340	370	484	250	166	0	138	193	139	163	132	53	90	12	0	0	44	45	17	20	61	27	28	0	0	16	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM152	5903	4061	5475	1156	757	101	119	934	0	237	369	402	422	561	253	161	0	246	225	149	204	142	57	103	23	0	24	58	66	19	22	63	49	11	0	62	14	0	0	23	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM153	7692	5508	6910	1560	1073	114	177	1119	27	340	473	380	573	638	302	226	0	304	368	187	197	207	165	122	46	0	0	53	74	31	65	93	52	47	9	0	23	0	0	15	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
