GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K01868,6866,9474,14163,7620,12117,9925,6891,9720,9668,11743,7474,6553,8586,9341,11133,8522,13238,13488,6672,4350,11310,8310,6987,7296
KO:K01869,8082,9496,14980,6822,8214,7903,8795,13057,7891,10049,7035,7332,10550,10870,11159,5579,6907,7740,6646,5913,11147,7280,5870,7653
KO:K01870,9310,11496,12252,9760,10964,12184,9265,14885,8799,13174,7827,7882,12507,13448,11222,11804,11392,11824,7070,6621,10033,9430,6527,7785
KO:K01872,10250,13642,17315,8324,11860,10428,11150,14292,10166,11163,7580,9028,11870,14046,12525,8707,11001,11189,8177,8015,13291,9464,6785,9046
KO:K01873,6248,7276,9012,6793,7111,6560,7256,9176,5966,10041,5995,6283,10125,7236,8068,6453,6647,6974,6005,4267,7110,7544,4895,5604
KO:K01874,4696,5248,9964,4572,5650,4860,5458,7869,6375,6026,5374,5171,7580,7042,7911,5052,5947,6626,4755,3571,7535,4703,4414,4778
KO:K01875,10169,5369,39092,4538,5084,14948,8713,6078,27640,6184,5415,15519,7276,8551,21467,5209,5234,9069,7809,3726,30198,5220,4773,15598
KO:K01876,6136,8175,12714,6436,9098,8118,6023,9370,6758,9574,5786,5520,8210,8519,10391,8224,9609,9151,5699,4244,10126,7397,5295,5662
KO:K01878,1397,1247,1427,752,1010,773,1597,2208,1394,1273,1038,1038,1353,1575,912,467,703,673,1216,1049,1150,894,921,1037
KO:K01879,3123,2672,4422,1771,1746,1868,3440,4520,4041,3022,2292,2636,2742,3709,2830,1002,1436,1573,2133,2032,3343,2043,2041,2540
KO:K01880,2900,5722,5244,4676,7840,7506,2931,4607,2427,4772,3280,2086,4718,5074,6377,5510,9059,8484,2985,1916,4392,4164,2917,2894
KO:K01881,4836,5839,8981,5260,5128,6374,4411,7351,6461,7048,3668,5415,5873,6702,6440,5801,4930,5838,3963,3588,6432,4976,3082,4549
KO:K01883,3989,4527,6377,3495,4200,3797,4488,6501,4546,5594,4220,4020,5690,6044,4341,3640,4055,4515,3539,3182,5056,3432,3357,3938
KO:K01885,4541,6319,6209,4822,6457,5206,4645,6593,4195,5804,4266,3859,6198,6795,6125,7503,7006,7562,3926,3221,5527,5260,3554,3774
KO:K01886,2092,2995,4966,2669,3253,2597,2484,2808,2355,3327,2235,2269,4125,3169,6225,4185,3766,4089,2065,1758,3366,2809,1905,1858
KO:K01887,6961,7953,9953,5826,6583,6974,7395,10827,6280,7280,5206,6061,6953,10247,7109,4311,5522,6254,5403,5326,8467,6136,4745,6147
KO:K01889,3404,4546,6294,3755,3791,4915,2978,4405,2818,4958,1926,2888,4202,4771,4620,3792,3914,4705,2561,2141,4343,2919,1838,2919
KO:K01890,7961,10761,15687,8369,8921,11225,6988,10909,6809,10962,4830,6654,9858,13075,10798,10677,9610,11808,6435,5845,11718,8345,4570,7700
KO:K01892,3657,4396,4796,3829,3896,3579,3537,5424,3372,4392,2896,3456,4684,4709,4013,3309,3330,3646,2909,2710,3878,4023,2406,2976
KO:K01893,8423,9923,12776,7246,11922,8626,7023,9839,6945,9384,7024,5667,9479,10935,10848,12859,15330,13839,8431,5992,10556,10490,6077,6357
KO:K01894,31,13,38,27,7,16,29,15,45,52,9,61,120,35,47,17,4,25,27,14,41,22,8,23
KO:K01895,1533,2560,1288,2046,2287,2482,2176,3040,869,2357,1973,1838,3939,3362,1686,2438,3176,3891,2188,1827,1601,2051,1931,1961
KO:K01897,7085,13160,8233,9150,15265,11888,7056,10899,4448,12018,7764,6017,14345,13160,8825,16977,16661,18035,8726,6068,8599,10884,7505,7466
KO:K01902,795,962,782,879,1146,1008,924,1518,684,1205,1174,1132,1938,1131,815,650,846,998,1868,1137,878,1901,919,1040
KO:K01903,976,1235,828,966,1415,1023,1124,1837,688,1483,1502,1405,1744,1617,917,717,1031,1267,2198,1495,972,2342,1355,1296
KO:K01906,56,38,132,38,1,111,45,40,161,58,9,256,95,17,59,30,2,53,44,27,43,25,2,84
KO:K01907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
